,product_cd,category_major_cd,category_medium_cd,category_small_cd,unit_price,unit_cost,category_major_name,category_medium_name,category_small_name
82,P040401015,04,404,40401,398.0,299.0,惣菜,和風惣菜,炒め・煮物類
83,P040401016,04,404,40401,398.0,299.0,惣菜,和風惣菜,炒め・煮物類
84,P040401017,04,404,40401,398.0,299.0,惣菜,和風惣菜,炒め・煮物類
85,P040401018,04,404,40401,398.0,299.0,惣菜,和風惣菜,炒め・煮物類
86,P040402001,04,404,40402,228.0,171.0,惣菜,和風惣菜,和え物
87,P040403001,04,404,40403,198.0,149.0,惣菜,和風惣菜,酢の物
88,P040403002,04,404,40403,248.0,186.0,惣菜,和風惣菜,酢の物
89,P040403003,04,404,40403,248.0,186.0,惣菜,和風惣菜,酢の物
90,P040403004,04,404,40403,248.0,186.0,惣菜,和風惣菜,酢の物
91,P040403005,04,404,40403,248.0,186.0,惣菜,和風惣菜,酢の物
92,P040403006,04,404,40403,278.0,209.0,惣菜,和風惣菜,酢の物
93,P040403007,04,404,40403,298.0,224.0,惣菜,和風惣菜,酢の物
94,P040403008,04,404,40403,298.0,224.0,惣菜,和風惣菜,酢の物
95,P040404001,04,404,40404,180.0,135.0,惣菜,和風惣菜,その他和風惣菜
96,P040404002,04,404,40404,198.0,149.0,惣菜,和風惣菜,その他和風惣菜
97,P040404003,04,404,40404,198.0,149.0,惣菜,和風惣菜,その他和風惣菜
98,P040404004,04,404,40404,235.0,176.0,惣菜,和風惣菜,その他和風惣菜
99,P040404005,04,404,40404,248.0,186.0,惣菜,和風惣菜,その他和風惣菜
100,P040404006,04,404,40404,278.0,209.0,惣菜,和風惣菜,その他和風惣菜
101,P040404007,04,404,40404,278.0,209.0,惣菜,和風惣菜,その他和風惣菜
102,P040404008,04,404,40404,288.0,216.0,惣菜,和風惣菜,その他和風惣菜
103,P040404009,04,404,40404,338.0,254.0,惣菜,和風惣菜,その他和風惣菜
104,P040404010,04,404,40404,398.0,299.0,惣菜,和風惣菜,その他和風惣菜
105,P040404011,04,404,40404,478.0,359.0,惣菜,和風惣菜,その他和風惣菜
106,P040404012,04,404,40404,548.0,411.0,惣菜,和風惣菜,その他和風惣菜
107,P040501001,04,405,40501,100.0,75.0,惣菜,フライ物,フライ物
108,P040501002,04,405,40501,180.0,135.0,惣菜,フライ物,フライ物
109,P040501003,04,405,40501,220.0,165.0,惣菜,フライ物,フライ物
110,P040501004,04,405,40501,278.0,209.0,惣菜,フライ物,フライ物
111,P040501005,04,405,40501,278.0,209.0,惣菜,フライ物,フライ物
112,P040501006,04,405,40501,298.0,224.0,惣菜,フライ物,フライ物
113,P040501007,04,405,40501,298.0,224.0,惣菜,フライ物,フライ物
114,P040501008,04,405,40501,298.0,224.0,惣菜,フライ物,フライ物
115,P040501009,04,405,40501,298.0,224.0,惣菜,フライ物,フライ物
116,P040501010,04,405,40501,318.0,239.0,惣菜,フライ物,フライ物
117,P040502001,04,405,40502,208.0,156.0,惣菜,フライ物,唐揚げ類
118,P040502002,04,405,40502,278.0,209.0,惣菜,フライ物,唐揚げ類
119,P040502003,04,405,40502,298.0,224.0,惣菜,フライ物,唐揚げ類
120,P040502004,04,405,40502,298.0,224.0,惣菜,フライ物,唐揚げ類
121,P040502005,04,405,40502,298.0,224.0,惣菜,フライ物,唐揚げ類
122,P040502006,04,405,40502,298.0,224.0,惣菜,フライ物,唐揚げ類
123,P040502007,04,405,40502,298.0,224.0,惣菜,フライ物,唐揚げ類
124,P040503001,04,405,40503,298.0,224.0,惣菜,フライ物,天麩羅類
125,P040504001,04,405,40504,180.0,135.0,惣菜,フライ物,チキンロースト類
126,P040504002,04,405,40504,218.0,164.0,惣菜,フライ物,チキンロースト類
127,P040504003,04,405,40504,288.0,216.0,惣菜,フライ物,チキンロースト類
128,P040504004,04,405,40504,288.0,216.0,惣菜,フライ物,チキンロースト類
129,P040504005,04,405,40504,308.0,231.0,惣菜,フライ物,チキンロースト類
130,P040504006,04,405,40504,338.0,254.0,惣菜,フライ物,チキンロースト類
131,P040504007,04,405,40504,338.0,254.0,惣菜,フライ物,チキンロースト類
132,P040504008,04,405,40504,358.0,269.0,惣菜,フライ物,チキンロースト類
133,P040504009,04,405,40504,468.0,351.0,惣菜,フライ物,チキンロースト類
134,P040504010,04,405,40504,498.0,374.0,惣菜,フライ物,チキンロースト類
135,P040601001,04,406,40601,278.0,209.0,惣菜,洋風惣菜,グラタン・ピザ類
136,P040602001,04,406,40602,405.0,304.0,惣菜,洋風惣菜,スナック類
137,P040602002,04,406,40602,440.0,330.0,惣菜,洋風惣菜,スナック類
138,P040603001,04,406,40603,1980.0,1485.0,惣菜,洋風惣菜,その他洋風惣菜
139,P040701001,04,407,40701,208.0,156.0,惣菜,中華惣菜,中華惣菜
140,P040701002,04,407,40701,208.0,156.0,惣菜,中華惣菜,中華惣菜
141,P040701003,04,407,40701,268.0,201.0,惣菜,中華惣菜,中華惣菜
142,P040701004,04,407,40701,278.0,209.0,惣菜,中華惣菜,中華惣菜
143,P040701005,04,407,40701,288.0,216.0,惣菜,中華惣菜,中華惣菜
144,P040701006,04,407,40701,298.0,224.0,惣菜,中華惣菜,中華惣菜
145,P040701007,04,407,40701,298.0,224.0,惣菜,中華惣菜,中華惣菜
146,P040701008,04,407,40701,298.0,224.0,惣菜,中華惣菜,中華惣菜
147,P040701009,04,407,40701,358.0,269.0,惣菜,中華惣菜,中華惣菜
148,P040801001,04,408,40801,78.0,59.0,惣菜,焼き物,うなぎ蒲焼
149,P040801002,04,408,40801,88.0,66.0,惣菜,焼き物,うなぎ蒲焼
150,P040801003,04,408,40801,148.0,111.0,惣菜,焼き物,うなぎ蒲焼
151,P040801004,04,408,40801,248.0,186.0,惣菜,焼き物,うなぎ蒲焼
152,P040801005,04,408,40801,918.0,689.0,惣菜,焼き物,うなぎ蒲焼
153,P040802001,04,408,40802,80.0,60.0,惣菜,焼き物,その他やきもの
154,P040802002,04,408,40802,100.0,75.0,惣菜,焼き物,その他やきもの
155,P040802003,04,408,40802,258.0,194.0,惣菜,焼き物,その他やきもの
156,P040802004,04,408,40802,368.0,276.0,惣菜,焼き物,その他やきもの
157,P040802005,04,408,40802,368.0,276.0,惣菜,焼き物,その他やきもの
158,P040802006,04,408,40802,438.0,329.0,惣菜,焼き物,その他やきもの
159,P040802007,04,408,40802,,,惣菜,焼き物,その他やきもの
160,P041302001,04,413,41302,450.0,338.0,惣菜,その他,その他
161,P050101001,05,501,50101,40.0,30.0,和日配,水物,豆腐
162,P050101002,05,501,50101,128.0,96.0,和日配,水物,豆腐
163,P050101003,05,501,50101,138.0,104.0,和日配,水物,豆腐
164,P050101004,05,501,50101,138.0,104.0,和日配,水物,豆腐
165,P050101005,05,501,50101,145.0,109.0,和日配,水物,豆腐
166,P050101006,05,501,50101,158.0,119.0,和日配,水物,豆腐
167,P050101007,05,501,50101,168.0,126.0,和日配,水物,豆腐
168,P050101008,05,501,50101,168.0,126.0,和日配,水物,豆腐
169,P050101009,05,501,50101,208.0,156.0,和日配,水物,豆腐
170,P050102001,05,501,50102,60.0,45.0,和日配,水物,油揚げ・がんも
171,P050102002,05,501,50102,138.0,104.0,和日配,水物,油揚げ・がんも
172,P050102003,05,501,50102,185.0,139.0,和日配,水物,油揚げ・がんも
173,P050102004,05,501,50102,188.0,141.0,和日配,水物,油揚げ・がんも
174,P050102005,05,501,50102,198.0,149.0,和日配,水物,油揚げ・がんも
175,P050102006,05,501,50102,215.0,161.0,和日配,水物,油揚げ・がんも
176,P050103001,05,501,50103,78.0,59.0,和日配,水物,コンニャク
177,P050103002,05,501,50103,80.0,60.0,和日配,水物,コンニャク
178,P050103003,05,501,50103,88.0,66.0,和日配,水物,コンニャク
179,P050103004,05,501,50103,110.0,83.0,和日配,水物,コンニャク
180,P050103005,05,501,50103,128.0,96.0,和日配,水物,コンニャク
181,P050103006,05,501,50103,128.0,96.0,和日配,水物,コンニャク
182,P050103007,05,501,50103,128.0,96.0,和日配,水物,コンニャク
183,P050103008,05,501,50103,128.0,96.0,和日配,水物,コンニャク
184,P050103009,05,501,50103,128.0,96.0,和日配,水物,コンニャク
185,P050103010,05,501,50103,130.0,98.0,和日配,水物,コンニャク
186,P050103011,05,501,50103,135.0,101.0,和日配,水物,コンニャク
187,P050103012,05,501,50103,148.0,111.0,和日配,水物,コンニャク
188,P050103013,05,501,50103,148.0,111.0,和日配,水物,コンニャク
189,P050103014,05,501,50103,158.0,119.0,和日配,水物,コンニャク
190,P050103015,05,501,50103,158.0,119.0,和日配,水物,コンニャク
191,P050103016,05,501,50103,165.0,124.0,和日配,水物,コンニャク
192,P050103017,05,501,50103,215.0,161.0,和日配,水物,コンニャク
193,P050103018,05,501,50103,235.0,176.0,和日配,水物,コンニャク
194,P050103019,05,501,50103,245.0,184.0,和日配,水物,コンニャク
195,P050103020,05,501,50103,268.0,201.0,和日配,水物,コンニャク
196,P050103021,05,501,50103,,,和日配,水物,コンニャク
197,P050104001,05,501,50104,115.0,86.0,和日配,水物,その他水物
198,P050104002,05,501,50104,115.0,86.0,和日配,水物,その他水物
199,P050104003,05,501,50104,118.0,89.0,和日配,水物,その他水物
200,P050104004,05,501,50104,138.0,104.0,和日配,水物,その他水物
201,P050104005,05,501,50104,138.0,104.0,和日配,水物,その他水物
202,P050104006,05,501,50104,188.0,141.0,和日配,水物,その他水物
203,P050104007,05,501,50104,188.0,141.0,和日配,水物,その他水物
204,P050104008,05,501,50104,188.0,141.0,和日配,水物,その他水物
205,P050104009,05,501,50104,188.0,141.0,和日配,水物,その他水物
206,P050104010,05,501,50104,210.0,158.0,和日配,水物,その他水物
207,P050104011,05,501,50104,210.0,158.0,和日配,水物,その他水物
208,P050104012,05,501,50104,740.0,555.0,和日配,水物,その他水物
209,P050201001,05,502,50201,138.0,104.0,和日配,漬物,ぬか漬け
210,P050201002,05,502,50201,188.0,141.0,和日配,漬物,ぬか漬け
211,P050201003,05,502,50201,195.0,146.0,和日配,漬物,ぬか漬け
212,P050201004,05,502,50201,195.0,146.0,和日配,漬物,ぬか漬け
213,P050201005,05,502,50201,198.0,149.0,和日配,漬物,ぬか漬け
214,P050201006,05,502,50201,218.0,164.0,和日配,漬物,ぬか漬け
215,P050201007,05,502,50201,220.0,165.0,和日配,漬物,ぬか漬け
216,P050201008,05,502,50201,228.0,171.0,和日配,漬物,ぬか漬け
217,P050201009,05,502,50201,235.0,176.0,和日配,漬物,ぬか漬け
218,P050201010,05,502,50201,238.0,179.0,和日配,漬物,ぬか漬け
219,P050201011,05,502,50201,450.0,338.0,和日配,漬物,ぬか漬け
220,P050202001,05,502,50202,120.0,90.0,和日配,漬物,塩漬け
221,P050202002,05,502,50202,145.0,109.0,和日配,漬物,塩漬け
222,P050202003,05,502,50202,155.0,116.0,和日配,漬物,塩漬け
223,P050202004,05,502,50202,155.0,116.0,和日配,漬物,塩漬け
224,P050202005,05,502,50202,160.0,120.0,和日配,漬物,塩漬け
225,P050202006,05,502,50202,185.0,139.0,和日配,漬物,塩漬け
226,P050202007,05,502,50202,188.0,141.0,和日配,漬物,塩漬け
227,P050202008,05,502,50202,188.0,141.0,和日配,漬物,塩漬け
228,P050202009,05,502,50202,198.0,149.0,和日配,漬物,塩漬け
229,P050202010,05,502,50202,198.0,149.0,和日配,漬物,塩漬け
230,P050202011,05,502,50202,198.0,149.0,和日配,漬物,塩漬け
231,P050202012,05,502,50202,198.0,149.0,和日配,漬物,塩漬け
232,P050202013,05,502,50202,198.0,149.0,和日配,漬物,塩漬け
233,P050202014,05,502,50202,208.0,156.0,和日配,漬物,塩漬け
234,P050202015,05,502,50202,208.0,156.0,和日配,漬物,塩漬け
235,P050202016,05,502,50202,220.0,165.0,和日配,漬物,塩漬け
236,P050202017,05,502,50202,220.0,165.0,和日配,漬物,塩漬け
237,P050202018,05,502,50202,228.0,171.0,和日配,漬物,塩漬け
238,P050202019,05,502,50202,235.0,176.0,和日配,漬物,塩漬け
239,P050202020,05,502,50202,235.0,176.0,和日配,漬物,塩漬け
240,P050202021,05,502,50202,235.0,176.0,和日配,漬物,塩漬け
241,P050202022,05,502,50202,235.0,176.0,和日配,漬物,塩漬け
242,P050202023,05,502,50202,235.0,176.0,和日配,漬物,塩漬け
243,P050202024,05,502,50202,268.0,201.0,和日配,漬物,塩漬け
244,P050202025,05,502,50202,298.0,224.0,和日配,漬物,塩漬け
245,P050202026,05,502,50202,298.0,224.0,和日配,漬物,塩漬け
246,P050202027,05,502,50202,308.0,231.0,和日配,漬物,塩漬け
247,P050202028,05,502,50202,325.0,244.0,和日配,漬物,塩漬け
248,P050202029,05,502,50202,338.0,254.0,和日配,漬物,塩漬け
249,P050202030,05,502,50202,378.0,284.0,和日配,漬物,塩漬け
250,P050202031,05,502,50202,438.0,329.0,和日配,漬物,塩漬け
251,P050202032,05,502,50202,530.0,398.0,和日配,漬物,塩漬け
252,P050202033,05,502,50202,618.0,464.0,和日配,漬物,塩漬け
253,P050202034,05,502,50202,688.0,516.0,和日配,漬物,塩漬け
254,P050202035,05,502,50202,688.0,516.0,和日配,漬物,塩漬け
255,P050202036,05,502,50202,960.0,720.0,和日配,漬物,塩漬け
256,P050202037,05,502,50202,980.0,735.0,和日配,漬物,塩漬け
257,P050203001,05,502,50203,145.0,109.0,和日配,漬物,醤油漬け
258,P050203002,05,502,50203,150.0,113.0,和日配,漬物,醤油漬け
259,P050203003,05,502,50203,155.0,116.0,和日配,漬物,醤油漬け
260,P050203004,05,502,50203,155.0,116.0,和日配,漬物,醤油漬け
261,P050203005,05,502,50203,178.0,134.0,和日配,漬物,醤油漬け
262,P050203006,05,502,50203,178.0,134.0,和日配,漬物,醤油漬け
263,P050203007,05,502,50203,178.0,134.0,和日配,漬物,醤油漬け
264,P050203008,05,502,50203,188.0,141.0,和日配,漬物,醤油漬け
265,P050203009,05,502,50203,198.0,149.0,和日配,漬物,醤油漬け
266,P050203010,05,502,50203,208.0,156.0,和日配,漬物,醤油漬け
267,P050203011,05,502,50203,208.0,156.0,和日配,漬物,醤油漬け
268,P050203012,05,502,50203,220.0,165.0,和日配,漬物,醤油漬け
269,P050203013,05,502,50203,220.0,165.0,和日配,漬物,醤油漬け
270,P050203014,05,502,50203,228.0,171.0,和日配,漬物,醤油漬け
271,P050203015,05,502,50203,248.0,186.0,和日配,漬物,醤油漬け
272,P050203016,05,502,50203,260.0,195.0,和日配,漬物,醤油漬け
273,P050203017,05,502,50203,260.0,195.0,和日配,漬物,醤油漬け
274,P050203018,05,502,50203,265.0,199.0,和日配,漬物,醤油漬け
275,P050203019,05,502,50203,288.0,216.0,和日配,漬物,醤油漬け
276,P050203020,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
277,P050203021,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
278,P050203022,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
279,P050203023,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
280,P050203024,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
281,P050203025,05,502,50203,298.0,224.0,和日配,漬物,醤油漬け
282,P050203026,05,502,50203,308.0,231.0,和日配,漬物,醤油漬け
283,P050203027,05,502,50203,325.0,244.0,和日配,漬物,醤油漬け
284,P050203028,05,502,50203,338.0,254.0,和日配,漬物,醤油漬け
285,P050204001,05,502,50204,150.0,113.0,和日配,漬物,粕漬け
286,P050204002,05,502,50204,155.0,116.0,和日配,漬物,粕漬け
287,P050204003,05,502,50204,180.0,135.0,和日配,漬物,粕漬け
288,P050204004,05,502,50204,218.0,164.0,和日配,漬物,粕漬け
289,P050204005,05,502,50204,218.0,164.0,和日配,漬物,粕漬け
290,P050204006,05,502,50204,268.0,201.0,和日配,漬物,粕漬け
291,P050204007,05,502,50204,268.0,201.0,和日配,漬物,粕漬け
292,P050204008,05,502,50204,295.0,221.0,和日配,漬物,粕漬け
293,P050205001,05,502,50205,148.0,111.0,和日配,漬物,酢漬け
294,P050205002,05,502,50205,198.0,149.0,和日配,漬物,酢漬け
295,P050205003,05,502,50205,230.0,173.0,和日配,漬物,酢漬け
296,P050205004,05,502,50205,258.0,194.0,和日配,漬物,酢漬け
297,P050205005,05,502,50205,258.0,194.0,和日配,漬物,酢漬け
298,P050205006,05,502,50205,298.0,224.0,和日配,漬物,酢漬け
299,P050205007,05,502,50205,310.0,233.0,和日配,漬物,酢漬け
300,P050205008,05,502,50205,398.0,299.0,和日配,漬物,酢漬け
301,P050205009,05,502,50205,548.0,411.0,和日配,漬物,酢漬け
302,P050206001,05,502,50206,198.0,149.0,和日配,漬物,味噌漬け
303,P050207001,05,502,50207,130.0,98.0,和日配,漬物,その他漬物
304,P050207002,05,502,50207,155.0,116.0,和日配,漬物,その他漬物
305,P050207003,05,502,50207,155.0,116.0,和日配,漬物,その他漬物
306,P050207004,05,502,50207,198.0,149.0,和日配,漬物,その他漬物
307,P050207005,05,502,50207,208.0,156.0,和日配,漬物,その他漬物
308,P050207006,05,502,50207,208.0,156.0,和日配,漬物,その他漬物
309,P050207007,05,502,50207,208.0,156.0,和日配,漬物,その他漬物
310,P050207008,05,502,50207,208.0,156.0,和日配,漬物,その他漬物
311,P050207009,05,502,50207,270.0,203.0,和日配,漬物,その他漬物
312,P050207010,05,502,50207,270.0,203.0,和日配,漬物,その他漬物
313,P050207011,05,502,50207,285.0,214.0,和日配,漬物,その他漬物
314,P050207012,05,502,50207,288.0,216.0,和日配,漬物,その他漬物
315,P050207013,05,502,50207,288.0,216.0,和日配,漬物,その他漬物
316,P050207014,05,502,50207,348.0,261.0,和日配,漬物,その他漬物
317,P050207015,05,502,50207,355.0,266.0,和日配,漬物,その他漬物
318,P050207016,05,502,50207,368.0,276.0,和日配,漬物,その他漬物
319,P050207017,05,502,50207,378.0,284.0,和日配,漬物,その他漬物
320,P050207018,05,502,50207,378.0,284.0,和日配,漬物,その他漬物
321,P050207019,05,502,50207,388.0,291.0,和日配,漬物,その他漬物
322,P050207020,05,502,50207,388.0,291.0,和日配,漬物,その他漬物
323,P050207021,05,502,50207,388.0,291.0,和日配,漬物,その他漬物
324,P050207022,05,502,50207,398.0,299.0,和日配,漬物,その他漬物
325,P050207023,05,502,50207,480.0,360.0,和日配,漬物,その他漬物
326,P050207024,05,502,50207,498.0,374.0,和日配,漬物,その他漬物
327,P050207025,05,502,50207,498.0,374.0,和日配,漬物,その他漬物
328,P050207026,05,502,50207,538.0,404.0,和日配,漬物,その他漬物
329,P050301001,05,503,50301,25.0,19.0,和日配,生麺,生うどん
330,P050301002,05,503,50301,65.0,49.0,和日配,生麺,生うどん
331,P050301003,05,503,50301,65.0,49.0,和日配,生麺,生うどん
332,P050301004,05,503,50301,65.0,49.0,和日配,生麺,生うどん
333,P050301005,05,503,50301,70.0,53.0,和日配,生麺,生うどん
334,P050301006,05,503,50301,75.0,56.0,和日配,生麺,生うどん
335,P050301007,05,503,50301,75.0,56.0,和日配,生麺,生うどん
336,P050301008,05,503,50301,78.0,59.0,和日配,生麺,生うどん
337,P050301009,05,503,50301,98.0,74.0,和日配,生麺,生うどん
338,P050301010,05,503,50301,108.0,81.0,和日配,生麺,生うどん
339,P050301011,05,503,50301,120.0,90.0,和日配,生麺,生うどん
340,P050301012,05,503,50301,128.0,96.0,和日配,生麺,生うどん
341,P050301013,05,503,50301,128.0,96.0,和日配,生麺,生うどん
342,P050301014,05,503,50301,138.0,104.0,和日配,生麺,生うどん
343,P050301015,05,503,50301,138.0,104.0,和日配,生麺,生うどん
344,P050301016,05,503,50301,138.0,104.0,和日配,生麺,生うどん
345,P050301017,05,503,50301,138.0,104.0,和日配,生麺,生うどん
346,P050301018,05,503,50301,138.0,104.0,和日配,生麺,生うどん
347,P050301019,05,503,50301,148.0,111.0,和日配,生麺,生うどん
348,P050301020,05,503,50301,158.0,119.0,和日配,生麺,生うどん
349,P050301021,05,503,50301,188.0,141.0,和日配,生麺,生うどん
350,P050301022,05,503,50301,188.0,141.0,和日配,生麺,生うどん
351,P050301023,05,503,50301,188.0,141.0,和日配,生麺,生うどん
352,P050301024,05,503,50301,188.0,141.0,和日配,生麺,生うどん
353,P050301025,05,503,50301,188.0,141.0,和日配,生麺,生うどん
354,P050301026,05,503,50301,198.0,149.0,和日配,生麺,生うどん
355,P050301027,05,503,50301,198.0,149.0,和日配,生麺,生うどん
356,P050301028,05,503,50301,198.0,149.0,和日配,生麺,生うどん
357,P050301029,05,503,50301,198.0,149.0,和日配,生麺,生うどん
358,P050301030,05,503,50301,198.0,149.0,和日配,生麺,生うどん
359,P050301031,05,503,50301,208.0,156.0,和日配,生麺,生うどん
360,P050301032,05,503,50301,228.0,171.0,和日配,生麺,生うどん
361,P050301033,05,503,50301,238.0,179.0,和日配,生麺,生うどん
362,P050301034,05,503,50301,248.0,186.0,和日配,生麺,生うどん
363,P050301035,05,503,50301,248.0,186.0,和日配,生麺,生うどん
364,P050301036,05,503,50301,258.0,194.0,和日配,生麺,生うどん
365,P050301037,05,503,50301,278.0,209.0,和日配,生麺,生うどん
366,P050301038,05,503,50301,278.0,209.0,和日配,生麺,生うどん
367,P050302001,05,503,50302,80.0,60.0,和日配,生麺,生そば
